Client name,Registrant name,Location of Client,Description of service (when available)
"Government of the Republic of Turkey, Embassy",Dickstein Shapiro LLP,Turkey,
American Palm Oil Council,Dickstein Shapiro LLP,Malaysia,
"Government of the Republic of Turkey, Embassy",Dickstein Shapiro LLP,Turkey,
Canadian Embassy,Garvey Schubert Barer A Partnership of Professiona,Canada,
Province of Ontario,Garvey Schubert Barer A Partnership of Professiona,Canada,
Global Guardian Trust,Garvey Schubert Barer A Partnership of Professiona,Japan,
Province of Manitoba,Garvey Schubert Barer A Partnership of Professiona,Canada,
Canadian Embassy,Garvey Schubert Barer A Partnership of Professiona,Canada,
Province of Ontario,Garvey Schubert Barer A Partnership of Professiona,Canada,
Global Guardian Trust,Garvey Schubert Barer A Partnership of Professiona,Japan,
Province of Manitoba,Garvey Schubert Barer A Partnership of Professiona,Canada,
Canadian Embassy,Garvey Schubert Barer A Partnership of Professiona,Canada,
Province of Ontario,Garvey Schubert Barer A Partnership of Professiona,Canada,
Global Guardian Trust,Garvey Schubert Barer A Partnership of Professiona,Japan,
Province of Manitoba,Garvey Schubert Barer A Partnership of Professiona,Canada,
Canadian Embassy,Garvey Schubert Barer A Partnership of Professiona,Canada,
Province of Ontario,Garvey Schubert Barer A Partnership of Professiona,Canada,
Global Guardian Trust,Garvey Schubert Barer A Partnership of Professiona,Japan,
Province of Manitoba,Garvey Schubert Barer A Partnership of Professiona,Canada,
Republic of Singapore (Singapore Tourism Board),"M. Silver Associates, Inc.",Singapore,
Via Rail,"M. Silver Associates, Inc.",Canada,
Turkish Culture & Tourist Office,"M. Silver Associates, Inc.",Turkey,
Republic of Singapore (Singapore Tourism Board),"M. Silver Associates, Inc.",Singapore,
Via Rail,"M. Silver Associates, Inc.",Canada,
Turkish Culture & Tourist Office,"M. Silver Associates, Inc.",Turkey,
Republic of Singapore (Singapore Tourism Board),"M. Silver Associates, Inc.",Singapore,
Via Rail,"M. Silver Associates, Inc.",Canada,
Turkish Culture & Tourist Office,"M. Silver Associates, Inc.",Turkey,
Manufactured Imports and Investment Promotion Organization (MIPRO),Manufactured Imports and Investment Promotion Organization (MIPRO),Japan,
"The Information Technology Industry Development Agency, ITIDA (through Hill & Knowlton, London)","Hill & Knowlton, Inc.",Egypt,
Princess Haya Bint Al Hussein,"Hill & Knowlton, Inc.",United Arab Emirates,
Tokyo Electric Power Company (TEPCO),"Hill & Knowlton, Inc.",Japan,
"The Information Technology Industry Development Agency, ITIDA (through Hill & Knowlton, London)","Hill & Knowlton, Inc.",Egypt,
Princess Haya Bint Al Hussein,"Hill & Knowlton, Inc.",United Arab Emirates,
Tokyo Electric Power Company (TEPCO),"Hill & Knowlton, Inc.",Japan,
"The Information Technology Industry Development Agency, ITIDA (through Hill & Knowlton, London)","Hill & Knowlton, Inc.",Egypt,
Princess Haya Bint Al Hussein,"Hill & Knowlton, Inc.",United Arab Emirates,
Tokyo Electric Power Company (TEPCO),"Hill & Knowlton, Inc.",Japan,
China National Tourism Administration (CNTA),China National Tourist Office,China,
Korea Institute for International Economic Policy (KIEP),Korea Economic Institute of America,Korea,
The British Virgin Islands Tourist Board,British Virgin Islands Tourist Board,British Virgin Islands,
Avianca S.A.,Holland & Knight LLP,Colombia,
The Government of the United Kingdom,Holland & Knight LLP,United Kingdom,
Avianca S.A.,Holland & Knight LLP,Colombia,
The Government of the United Kingdom,Holland & Knight LLP,United Kingdom,
China Daily of Beijing,China Daily Distribution Corporation,China,
Comission Nacional de Zonas Francas (Nicaragua),"Akin Gump Strauss Hauer & Feld, LLP",Nicaragua,
Embassy of the Republic of Korea to the United States,"Akin Gump Strauss Hauer & Feld, LLP",Korea,
Embassy Of Japan,"Akin Gump Strauss Hauer & Feld, LLP",Japan,
Kili/Bikini/Ejit Local Government Council,"Akin Gump Strauss Hauer & Feld, LLP",Marshall Islands,
Government of British Columbia,"Akin Gump Strauss Hauer & Feld, LLP",Canada,
Dubai Civil Aviation Authority,"Akin Gump Strauss Hauer & Feld, LLP",United Arab Emirates,
Mining Company of Katanga,"Akin Gump Strauss Hauer & Feld, LLP",Congo Kinsaha Zaire,
Hong Kong EconomicTrade Development Council,"Akin Gump Strauss Hauer & Feld, LLP",Hong Kong,
Comission Nacional de Zonas Francas (Nicaragua),"Akin Gump Strauss Hauer & Feld, LLP",Nicaragua,
Embassy of the Republic of Korea to the United States,"Akin Gump Strauss Hauer & Feld, LLP",Korea,
Embassy Of Japan,"Akin Gump Strauss Hauer & Feld, LLP",Japan,
Kili/Bikini/Ejit Local Government Council,"Akin Gump Strauss Hauer & Feld, LLP",Marshall Islands,
Government of British Columbia,"Akin Gump Strauss Hauer & Feld, LLP",Canada,
Dubai Civil Aviation Authority,"Akin Gump Strauss Hauer & Feld, LLP",United Arab Emirates,
Mining Company of Katanga,"Akin Gump Strauss Hauer & Feld, LLP",Congo Kinsaha Zaire,
Hong Kong EconomicTrade Development Council,"Akin Gump Strauss Hauer & Feld, LLP",Hong Kong,
Comission Nacional de Zonas Francas (Nicaragua),"Akin Gump Strauss Hauer & Feld, LLP",Nicaragua,
Embassy of the Republic of Korea to the United States,"Akin Gump Strauss Hauer & Feld, LLP",Korea,
Embassy Of Japan,"Akin Gump Strauss Hauer & Feld, LLP",Japan,
Kili/Bikini/Ejit Local Government Council,"Akin Gump Strauss Hauer & Feld, LLP",Marshall Islands,
Government of British Columbia,"Akin Gump Strauss Hauer & Feld, LLP",Canada,
Dubai Civil Aviation Authority,"Akin Gump Strauss Hauer & Feld, LLP",United Arab Emirates,
Mining Company of Katanga,"Akin Gump Strauss Hauer & Feld, LLP",Congo Kinsaha Zaire,
Hong Kong EconomicTrade Development Council,"Akin Gump Strauss Hauer & Feld, LLP",Hong Kong,
Comission Nacional de Zonas Francas (Nicaragua),"Akin Gump Strauss Hauer & Feld, LLP",Nicaragua,
Embassy of the Republic of Korea to the United States,"Akin Gump Strauss Hauer & Feld, LLP",Korea,
Embassy Of Japan,"Akin Gump Strauss Hauer & Feld, LLP",Japan,
Kili/Bikini/Ejit Local Government Council,"Akin Gump Strauss Hauer & Feld, LLP",Marshall Islands,
Government of British Columbia,"Akin Gump Strauss Hauer & Feld, LLP",Canada,
Dubai Civil Aviation Authority,"Akin Gump Strauss Hauer & Feld, LLP",United Arab Emirates,
Mining Company of Katanga,"Akin Gump Strauss Hauer & Feld, LLP",Congo Kinsaha Zaire,
Hong Kong EconomicTrade Development Council,"Akin Gump Strauss Hauer & Feld, LLP",Hong Kong,
Comission Nacional de Zonas Francas (Nicaragua),"Akin Gump Strauss Hauer & Feld, LLP",Nicaragua,
Embassy of the Republic of Korea to the United States,"Akin Gump Strauss Hauer & Feld, LLP",Korea,
Embassy Of Japan,"Akin Gump Strauss Hauer & Feld, LLP",Japan,
Kili/Bikini/Ejit Local Government Council,"Akin Gump Strauss Hauer & Feld, LLP",Marshall Islands,
Government of British Columbia,"Akin Gump Strauss Hauer & Feld, LLP",Canada,
Dubai Civil Aviation Authority,"Akin Gump Strauss Hauer & Feld, LLP",United Arab Emirates,
Mining Company of Katanga,"Akin Gump Strauss Hauer & Feld, LLP",Congo Kinsaha Zaire,
Hong Kong EconomicTrade Development Council,"Akin Gump Strauss Hauer & Feld, LLP",Hong Kong,
Comission Nacional de Zonas Francas (Nicaragua),"Akin Gump Strauss Hauer & Feld, LLP",Nicaragua,
Embassy of the Republic of Korea to the United States,"Akin Gump Strauss Hauer & Feld, LLP",Korea,
Embassy Of Japan,"Akin Gump Strauss Hauer & Feld, LLP",Japan,
Kili/Bikini/Ejit Local Government Council,"Akin Gump Strauss Hauer & Feld, LLP",Marshall Islands,
Government of British Columbia,"Akin Gump Strauss Hauer & Feld, LLP",Canada,
Dubai Civil Aviation Authority,"Akin Gump Strauss Hauer & Feld, LLP",United Arab Emirates,
Mining Company of Katanga,"Akin Gump Strauss Hauer & Feld, LLP",Congo Kinsaha Zaire,
Hong Kong EconomicTrade Development Council,"Akin Gump Strauss Hauer & Feld, LLP",Hong Kong,
Comission Nacional de Zonas Francas (Nicaragua),"Akin Gump Strauss Hauer & Feld, LLP",Nicaragua,
Embassy of the Republic of Korea to the United States,"Akin Gump Strauss Hauer & Feld, LLP",Korea,
Embassy Of Japan,"Akin Gump Strauss Hauer & Feld, LLP",Japan,
Kili/Bikini/Ejit Local Government Council,"Akin Gump Strauss Hauer & Feld, LLP",Marshall Islands,
Government of British Columbia,"Akin Gump Strauss Hauer & Feld, LLP",Canada,
Dubai Civil Aviation Authority,"Akin Gump Strauss Hauer & Feld, LLP",United Arab Emirates,
Mining Company of Katanga,"Akin Gump Strauss Hauer & Feld, LLP",Congo Kinsaha Zaire,
Hong Kong EconomicTrade Development Council,"Akin Gump Strauss Hauer & Feld, LLP",Hong Kong,
Comission Nacional de Zonas Francas (Nicaragua),"Akin Gump Strauss Hauer & Feld, LLP",Nicaragua,
Embassy of the Republic of Korea to the United States,"Akin Gump Strauss Hauer & Feld, LLP",Korea,
Embassy Of Japan,"Akin Gump Strauss Hauer & Feld, LLP",Japan,
Kili/Bikini/Ejit Local Government Council,"Akin Gump Strauss Hauer & Feld, LLP",Marshall Islands,
Government of British Columbia,"Akin Gump Strauss Hauer & Feld, LLP",Canada,
Dubai Civil Aviation Authority,"Akin Gump Strauss Hauer & Feld, LLP",United Arab Emirates,
Mining Company of Katanga,"Akin Gump Strauss Hauer & Feld, LLP",Congo Kinsaha Zaire,
Hong Kong EconomicTrade Development Council,"Akin Gump Strauss Hauer & Feld, LLP",Hong Kong,
Singapore Economic Development Board,Daniel J. Edelman,Singapore,
"Bombardier, Inc.",Daniel J. Edelman,Canada,
Grupo Vicini,Daniel J. Edelman,Canada,
Oerlikon Solar,Daniel J. Edelman,Switzerland,
Kongsberg Protech Systems,Daniel J. Edelman,Norway,
Singapore Economic Development Board,Daniel J. Edelman,Singapore,
"Bombardier, Inc.",Daniel J. Edelman,Canada,
Grupo Vicini,Daniel J. Edelman,Canada,
Oerlikon Solar,Daniel J. Edelman,Switzerland,
Kongsberg Protech Systems,Daniel J. Edelman,Norway,
Singapore Economic Development Board,Daniel J. Edelman,Singapore,
"Bombardier, Inc.",Daniel J. Edelman,Canada,
Grupo Vicini,Daniel J. Edelman,Canada,
Oerlikon Solar,Daniel J. Edelman,Switzerland,
Kongsberg Protech Systems,Daniel J. Edelman,Norway,
Singapore Economic Development Board,Daniel J. Edelman,Singapore,
"Bombardier, Inc.",Daniel J. Edelman,Canada,
Grupo Vicini,Daniel J. Edelman,Canada,
Oerlikon Solar,Daniel J. Edelman,Switzerland,
Kongsberg Protech Systems,Daniel J. Edelman,Norway,
Singapore Economic Development Board,Daniel J. Edelman,Singapore,
"Bombardier, Inc.",Daniel J. Edelman,Canada,
Grupo Vicini,Daniel J. Edelman,Canada,
Oerlikon Solar,Daniel J. Edelman,Switzerland,
Kongsberg Protech Systems,Daniel J. Edelman,Norway,
Taiwan External Trade Development Council,"Taiwan Trade Center, New York Inc.",Taiwan,
Taipei Economic And Cultural Representative Office in the United States,"International Trade & Development Agency, Inc.",Taiwan,
German State of Rheinland-Pfalz,DLA Piper US LLP,Germany,
"Government of Afghanistan, Embassy",DLA Piper US LLP,Afghanistan,
Embassy of the United Arab Emirates,DLA Piper US LLP,United Arab Emirates,
German State of Rheinland-Pfalz,DLA Piper US LLP,Germany,
"Government of Afghanistan, Embassy",DLA Piper US LLP,Afghanistan,
Embassy of the United Arab Emirates,DLA Piper US LLP,United Arab Emirates,
German State of Rheinland-Pfalz,DLA Piper US LLP,Germany,
"Government of Afghanistan, Embassy",DLA Piper US LLP,Afghanistan,
Embassy of the United Arab Emirates,DLA Piper US LLP,United Arab Emirates,
Avianca S.A.,Holland & Knight LLP,Colombia,
The Government of the United Kingdom,Holland & Knight LLP,United Kingdom,
Avianca S.A.,Holland & Knight LLP,Colombia,
The Government of the United Kingdom,Holland & Knight LLP,United Kingdom,
State of Israel,Sidley Austin LLP,Israel,
Hong Kong Trade Development Council,Sidley Austin LLP,Hong Kong,
Government of the Cayman Islands,Sidley Austin LLP,Cayman Islands,
Yuriy Ivaniuschenko,Sidley Austin LLP,Ukraine,
State of Israel,Sidley Austin LLP,Israel,
Hong Kong Trade Development Council,Sidley Austin LLP,Hong Kong,
Government of the Cayman Islands,Sidley Austin LLP,Cayman Islands,
Yuriy Ivaniuschenko,Sidley Austin LLP,Ukraine,
State of Israel,Sidley Austin LLP,Israel,
Hong Kong Trade Development Council,Sidley Austin LLP,Hong Kong,
Government of the Cayman Islands,Sidley Austin LLP,Cayman Islands,
Yuriy Ivaniuschenko,Sidley Austin LLP,Ukraine,
State of Israel,Sidley Austin LLP,Israel,
Hong Kong Trade Development Council,Sidley Austin LLP,Hong Kong,
Government of the Cayman Islands,Sidley Austin LLP,Cayman Islands,
Yuriy Ivaniuschenko,Sidley Austin LLP,Ukraine,
Saudi Basic Industry Corporation (SABIC),CMGRP Inc. DBA Weber Shandwick,Saudi Arabia,
Government of the Bahamas,CMGRP Inc. DBA Weber Shandwick,Bahamas,
Temasek Holdings,CMGRP Inc. DBA Weber Shandwick,Singapore,
Alliance for a Green Revolution in Africa (AGRA),CMGRP Inc. DBA Weber Shandwick,United Kingdom,
"Federal Ministry of Agriculture and Rural Development, Federal Republic of Nigeria",CMGRP Inc. DBA Weber Shandwick,Nigeria,
Saudi Basic Industry Corporation (SABIC),CMGRP Inc. DBA Weber Shandwick,Saudi Arabia,
Government of the Bahamas,CMGRP Inc. DBA Weber Shandwick,Bahamas,
Temasek Holdings,CMGRP Inc. DBA Weber Shandwick,Singapore,
Alliance for a Green Revolution in Africa (AGRA),CMGRP Inc. DBA Weber Shandwick,United Kingdom,
"Federal Ministry of Agriculture and Rural Development, Federal Republic of Nigeria",CMGRP Inc. DBA Weber Shandwick,Nigeria,
Saudi Basic Industry Corporation (SABIC),CMGRP Inc. DBA Weber Shandwick,Saudi Arabia,
Government of the Bahamas,CMGRP Inc. DBA Weber Shandwick,Bahamas,
Temasek Holdings,CMGRP Inc. DBA Weber Shandwick,Singapore,
Alliance for a Green Revolution in Africa (AGRA),CMGRP Inc. DBA Weber Shandwick,United Kingdom,
"Federal Ministry of Agriculture and Rural Development, Federal Republic of Nigeria",CMGRP Inc. DBA Weber Shandwick,Nigeria,
Saudi Basic Industry Corporation (SABIC),CMGRP Inc. DBA Weber Shandwick,Saudi Arabia,
Government of the Bahamas,CMGRP Inc. DBA Weber Shandwick,Bahamas,
Temasek Holdings,CMGRP Inc. DBA Weber Shandwick,Singapore,
Alliance for a Green Revolution in Africa (AGRA),CMGRP Inc. DBA Weber Shandwick,United Kingdom,
"Federal Ministry of Agriculture and Rural Development, Federal Republic of Nigeria",CMGRP Inc. DBA Weber Shandwick,Nigeria,
Saudi Basic Industry Corporation (SABIC),CMGRP Inc. DBA Weber Shandwick,Saudi Arabia,
Government of the Bahamas,CMGRP Inc. DBA Weber Shandwick,Bahamas,
Temasek Holdings,CMGRP Inc. DBA Weber Shandwick,Singapore,
Alliance for a Green Revolution in Africa (AGRA),CMGRP Inc. DBA Weber Shandwick,United Kingdom,
"Federal Ministry of Agriculture and Rural Development, Federal Republic of Nigeria",CMGRP Inc. DBA Weber Shandwick,Nigeria,
"Bureau of Foreign Trade, Ministry of Economic Affairs, Government of the Republic of China (BOFT)","C&M International, Ltd.",China,
Japan External Trade Organization (JETRO),Jetro Atlanta,Japan,
Tourism Queensland (formerly Queensland Tourism and Travel Corporation),Tourism Queensland (formerly Queensland Tourist an,Australia,
Saudi Arabian Oil Company The Government of the Kingdom of Saudi Arabia,"Saudi Refining, Inc.",Saudi Arabia,
Federation of German Industries / Bundesverband der Deutschen Industrie (BDI),Representative of German Industry and Trade,Germany,
Association of German Chambers of Industry and Commerce Deutscher Industrie und Handelskammertag (DI,Representative of German Industry and Trade,Germany,
Federation of German Industries / Bundesverband der Deutschen Industrie (BDI),Representative of German Industry and Trade,Germany,
Association of German Chambers of Industry and Commerce Deutscher Industrie und Handelskammertag (DI,Representative of German Industry and Trade,Germany,
"Department Of Enterprise Trade And Investment, A UK Government Department In Northern Ireland",Invest Northern Ireland,United Kingdom,
Deutsche Telekom AG,"Deutsche Telecom, Inc.",Germany,
Tourism New South Wales,Tourism New South Wales,United Kingdom,
Government of Mexico - Secretaria de Economia,"Public Strategies Washington, Inc.",Mexico,
"NHK Cosmomedia America, Inc.","Japan Network Group, Inc.",Japan,
"Japan International Broadcasting, Inc.","Japan Network Group, Inc.",Japan,
"NHK Cosmomedia America, Inc.","Japan Network Group, Inc.",Japan,
"Japan International Broadcasting, Inc.","Japan Network Group, Inc.",Japan,
Republic of the Marshall Islands,"International Registries, Inc.",Marshall Islands,
"Government of Malaysia, Office of the Chief Secretary to the Government",APCO Worldwide Inc.,Malaysia,
Malaysian Palm Oil Promotion Council,American Palm Oil Council,Malaysia,
Oromo Liberation Front (OLF),Oromo Liberation Front (OLF),Ethiopia,
"Japan Automobile Manufacturers, Inc.",Maseng Communications,Japan,
Polish Tourist Organization,Polish National Tourist Office,Poland,
"Government of the People's Democratic Republic of Algeria, Embassy",Foley Hoag LLP,Algeria,
Government of the People's Republic of Bangladesh represented by Embassy of Bangladesh to the United States of America,Foley Hoag LLP,Bangladesh,
"Government of the People's Democratic Republic of Algeria, Embassy",Foley Hoag LLP,Algeria,
Government of the People's Republic of Bangladesh represented by Embassy of Bangladesh to the United States of America,Foley Hoag LLP,Bangladesh,
Tourism Tasmania,Development Counsellors International,Australia,
Tourism Queensland (formerly Queensland Tourism and Travel Corporation),Development Counsellors International,Australia,
Tourism Toronto,Development Counsellors International,Canada,
Romania's Ministry of Regional Development and Tourism,Development Counsellors International,Romania,
Ecuador Ministry of Tourism,Development Counsellors International,Ecuador,
PromPeru,Development Counsellors International,Peru,
Scottish Development,Development Counsellors International,Scotland,
APEV Romania,Development Counsellors International,Romania,
Fiera Congressi Milano,Development Counsellors International,Italy,
Tourism Tasmania,Development Counsellors International,Australia,
Tourism Queensland (formerly Queensland Tourism and Travel Corporation),Development Counsellors International,Australia,
Tourism Toronto,Development Counsellors International,Canada,
Romania's Ministry of Regional Development and Tourism,Development Counsellors International,Romania,
Ecuador Ministry of Tourism,Development Counsellors International,Ecuador,
PromPeru,Development Counsellors International,Peru,
Scottish Development,Development Counsellors International,Scotland,
APEV Romania,Development Counsellors International,Romania,
Fiera Congressi Milano,Development Counsellors International,Italy,
Tourism Tasmania,Development Counsellors International,Australia,
Tourism Queensland (formerly Queensland Tourism and Travel Corporation),Development Counsellors International,Australia,
Tourism Toronto,Development Counsellors International,Canada,
Romania's Ministry of Regional Development and Tourism,Development Counsellors International,Romania,
Ecuador Ministry of Tourism,Development Counsellors International,Ecuador,
PromPeru,Development Counsellors International,Peru,
Scottish Development,Development Counsellors International,Scotland,
APEV Romania,Development Counsellors International,Romania,
Fiera Congressi Milano,Development Counsellors International,Italy,
Tourism Tasmania,Development Counsellors International,Australia,
Tourism Queensland (formerly Queensland Tourism and Travel Corporation),Development Counsellors International,Australia,
Tourism Toronto,Development Counsellors International,Canada,
Romania's Ministry of Regional Development and Tourism,Development Counsellors International,Romania,
Ecuador Ministry of Tourism,Development Counsellors International,Ecuador,
PromPeru,Development Counsellors International,Peru,
Scottish Development,Development Counsellors International,Scotland,
APEV Romania,Development Counsellors International,Romania,
Fiera Congressi Milano,Development Counsellors International,Italy,
Tourism Tasmania,Development Counsellors International,Australia,
Tourism Queensland (formerly Queensland Tourism and Travel Corporation),Development Counsellors International,Australia,
Tourism Toronto,Development Counsellors International,Canada,
Romania's Ministry of Regional Development and Tourism,Development Counsellors International,Romania,
Ecuador Ministry of Tourism,Development Counsellors International,Ecuador,
PromPeru,Development Counsellors International,Peru,
Scottish Development,Development Counsellors International,Scotland,
APEV Romania,Development Counsellors International,Romania,
Fiera Congressi Milano,Development Counsellors International,Italy,
Tourism Tasmania,Development Counsellors International,Australia,
Tourism Queensland (formerly Queensland Tourism and Travel Corporation),Development Counsellors International,Australia,
Tourism Toronto,Development Counsellors International,Canada,
Romania's Ministry of Regional Development and Tourism,Development Counsellors International,Romania,
Ecuador Ministry of Tourism,Development Counsellors International,Ecuador,
PromPeru,Development Counsellors International,Peru,
Scottish Development,Development Counsellors International,Scotland,
APEV Romania,Development Counsellors International,Romania,
Fiera Congressi Milano,Development Counsellors International,Italy,
Tourism Tasmania,Development Counsellors International,Australia,
Tourism Queensland (formerly Queensland Tourism and Travel Corporation),Development Counsellors International,Australia,
Tourism Toronto,Development Counsellors International,Canada,
Romania's Ministry of Regional Development and Tourism,Development Counsellors International,Romania,
Ecuador Ministry of Tourism,Development Counsellors International,Ecuador,
PromPeru,Development Counsellors International,Peru,
Scottish Development,Development Counsellors International,Scotland,
APEV Romania,Development Counsellors International,Romania,
Fiera Congressi Milano,Development Counsellors International,Italy,
Tourism Tasmania,Development Counsellors International,Australia,
Tourism Queensland (formerly Queensland Tourism and Travel Corporation),Development Counsellors International,Australia,
Tourism Toronto,Development Counsellors International,Canada,
Romania's Ministry of Regional Development and Tourism,Development Counsellors International,Romania,
Ecuador Ministry of Tourism,Development Counsellors International,Ecuador,
PromPeru,Development Counsellors International,Peru,
Scottish Development,Development Counsellors International,Scotland,
APEV Romania,Development Counsellors International,Romania,
Fiera Congressi Milano,Development Counsellors International,Italy,
Tourism Tasmania,Development Counsellors International,Australia,
Tourism Queensland (formerly Queensland Tourism and Travel Corporation),Development Counsellors International,Australia,
Tourism Toronto,Development Counsellors International,Canada,
Romania's Ministry of Regional Development and Tourism,Development Counsellors International,Romania,
Ecuador Ministry of Tourism,Development Counsellors International,Ecuador,
PromPeru,Development Counsellors International,Peru,
Scottish Development,Development Counsellors International,Scotland,
APEV Romania,Development Counsellors International,Romania,
Fiera Congressi Milano,Development Counsellors International,Italy,
Ethiopian People Revolutionary Party,Ethiopian People Revolutionary Party,Ethiopia,
Pottawatomi Nation (Canada Keewatinosagiganing Pottawatomi),Native American Rights Fund,Canada,
Comission Nacional de Zonas Francas (Nicaragua),"Samuels International Associates, Inc.",Nicaragua,
The Republic of Vanuatu,Office of Deputy Commissioner of Maritime Affairs,Vanuatu,
Lloyd's of London Market Representatives,Lloyd's of London,United Kingdom,
Visitsweden (Former Sverigesrese & Turistrad),Visitsweden (Former Swedish Travel & Tourism Counc,Sweden,
Luxembourg Trade and Investment Office,"Luxcore, Ltd.",Luxembourg,
Federacion Nacional De Cafeteros De Colombia,"Colombian Coffee Federation, Inc.",Colombia,
Government of Cote d'Ivoire,"JWI, LLC dba Jefferson Waterman International",Cote D'Ivoire,
International Bank of Azerbaijan,"JWI, LLC dba Jefferson Waterman International",Azerbaijan,
Embassy of the Republic of Korea to the United States,"JWI, LLC dba Jefferson Waterman International",Korea,
Government of the Republic of Ghana (Gh),"JWI, LLC dba Jefferson Waterman International",Ghana,
Sudanese Justice and Equality Movement,"JWI, LLC dba Jefferson Waterman International",Sudan,
Government of the Republic of The Gambia,"JWI, LLC dba Jefferson Waterman International",the Gambia,
Government of Cote d'Ivoire,"JWI, LLC dba Jefferson Waterman International",Cote D'Ivoire,
International Bank of Azerbaijan,"JWI, LLC dba Jefferson Waterman International",Azerbaijan,
Embassy of the Republic of Korea to the United States,"JWI, LLC dba Jefferson Waterman International",Korea,
Government of the Republic of Ghana (Gh),"JWI, LLC dba Jefferson Waterman International",Ghana,
Sudanese Justice and Equality Movement,"JWI, LLC dba Jefferson Waterman International",Sudan,
Government of the Republic of The Gambia,"JWI, LLC dba Jefferson Waterman International",the Gambia,
Government of Cote d'Ivoire,"JWI, LLC dba Jefferson Waterman International",Cote D'Ivoire,
International Bank of Azerbaijan,"JWI, LLC dba Jefferson Waterman International",Azerbaijan,
Embassy of the Republic of Korea to the United States,"JWI, LLC dba Jefferson Waterman International",Korea,
Government of the Republic of Ghana (Gh),"JWI, LLC dba Jefferson Waterman International",Ghana,
Sudanese Justice and Equality Movement,"JWI, LLC dba Jefferson Waterman International",Sudan,
Government of the Republic of The Gambia,"JWI, LLC dba Jefferson Waterman International",the Gambia,
Government of Cote d'Ivoire,"JWI, LLC dba Jefferson Waterman International",Cote D'Ivoire,
International Bank of Azerbaijan,"JWI, LLC dba Jefferson Waterman International",Azerbaijan,
Embassy of the Republic of Korea to the United States,"JWI, LLC dba Jefferson Waterman International",Korea,
Government of the Republic of Ghana (Gh),"JWI, LLC dba Jefferson Waterman International",Ghana,
Sudanese Justice and Equality Movement,"JWI, LLC dba Jefferson Waterman International",Sudan,
Government of the Republic of The Gambia,"JWI, LLC dba Jefferson Waterman International",the Gambia,
Government of Cote d'Ivoire,"JWI, LLC dba Jefferson Waterman International",Cote D'Ivoire,
International Bank of Azerbaijan,"JWI, LLC dba Jefferson Waterman International",Azerbaijan,
Embassy of the Republic of Korea to the United States,"JWI, LLC dba Jefferson Waterman International",Korea,
Government of the Republic of Ghana (Gh),"JWI, LLC dba Jefferson Waterman International",Ghana,
Sudanese Justice and Equality Movement,"JWI, LLC dba Jefferson Waterman International",Sudan,
Government of the Republic of The Gambia,"JWI, LLC dba Jefferson Waterman International",the Gambia,
Government of Cote d'Ivoire,"JWI, LLC dba Jefferson Waterman International",Cote D'Ivoire,
International Bank of Azerbaijan,"JWI, LLC dba Jefferson Waterman International",Azerbaijan,
Embassy of the Republic of Korea to the United States,"JWI, LLC dba Jefferson Waterman International",Korea,
Government of the Republic of Ghana (Gh),"JWI, LLC dba Jefferson Waterman International",Ghana,
Sudanese Justice and Equality Movement,"JWI, LLC dba Jefferson Waterman International",Sudan,
Government of the Republic of The Gambia,"JWI, LLC dba Jefferson Waterman International",the Gambia,
The Federated States of Micronesia,David M. Staton,Micronesia,
Sinn Fein,Friends Of Sinn Fein,Ireland,
Federal Economic Chamber of Commerce (Wirtschaftskammer Oesterreich),"Austrian Trade Commission in the USA, Southern Reg",Austria,
Embassy of Singapore,"Reed, T. Dean",Singapore,
Embassy Of Japan,"Reed, T. Dean",Japan,
Embassy of Singapore,"Reed, T. Dean",Singapore,
Embassy Of Japan,"Reed, T. Dean",Japan,
"Czech Ministry of Foreign Affairs, Czech Centers Division",Czech Center New York,Czech Republic,
JETRO New York,"KWR International, Inc.",Japan,
Urenco Limited,Urenco Inc,England,
People's Daily Overseas Edition,"Hal Tian Development USA, Inc.",Korea,
Tilda LTD,Charles J. O'Mara,United Kingdom,
"International Counsel Bureau, Kuwaiti Counsel for the Families of Kuwaiti Citizens at Guantanamo Bay",Pillsbury Winthrop Shaw Pittman LLP,Kuwait,
Govt of Mexico - Secretaria de Economia,Pillsbury Winthrop Shaw Pittman LLP,Mexico,
Government of Mexico - Secretaria de Economia,Pillsbury Winthrop Shaw Pittman LLP,Mexico,
Government of the Republic of Korea,Pillsbury Winthrop Shaw Pittman LLP,South Korea,
"King Abdullah City for Atomic and Renewable Energy (""KACARE"") ",Pillsbury Winthrop Shaw Pittman LLP,Saudi Arabia,
"International Counsel Bureau, Kuwaiti Counsel for the Families of Kuwaiti Citizens at Guantanamo Bay",Pillsbury Winthrop Shaw Pittman LLP,Kuwait,
Govt of Mexico - Secretaria de Economia,Pillsbury Winthrop Shaw Pittman LLP,Mexico,
Government of Mexico - Secretaria de Economia,Pillsbury Winthrop Shaw Pittman LLP,Mexico,
Government of the Republic of Korea,Pillsbury Winthrop Shaw Pittman LLP,South Korea,
"King Abdullah City for Atomic and Renewable Energy (""KACARE"") ",Pillsbury Winthrop Shaw Pittman LLP,Saudi Arabia,
"International Counsel Bureau, Kuwaiti Counsel for the Families of Kuwaiti Citizens at Guantanamo Bay",Pillsbury Winthrop Shaw Pittman LLP,Kuwait,
Govt of Mexico - Secretaria de Economia,Pillsbury Winthrop Shaw Pittman LLP,Mexico,
Government of Mexico - Secretaria de Economia,Pillsbury Winthrop Shaw Pittman LLP,Mexico,
